Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:14tud1FLjpHMYHpD2c7NbO,"i'll die anyway.","i'll die anyway.","girl in red",2019-07-17,192612,63,false,,2025-09-22T17:44:20Z,"bedroompop","world in red",0.473,0.626,0,-6.887,1,0.0288,0.000427,0.578,0.0786,0.172,157.912,4
spotify:track:3Hx7RXqCS7Kzjy2ot2q1Gk,"Fever","Turn Blue","The Black Keys",2014-05-06,246306,63,false,,2025-09-22T17:44:20Z,"bluesrock,garagerock,moderne blues,rock","Nonesuch",0.609,0.674,9,-6.506,0,0.0355,0.00378,0.000302,0.129,0.743,127.541,4
spotify:track:2jZgzSxNSg1hTCq0ewWHGJ,"Junk Of The Heart (Happy)","Junk Of The Heart","The Kooks",2011-01-01,187253,63,false,,2025-09-22T17:44:20Z,"indie,indierock","Virgin",0.604,0.894,2,-5,1,0.037,0.0212,0,0.0299,0.901,145.017,4
spotify:track:32zkKx35Et6A515oZKxDkD,"Life Itself","How To Be A Human Being","Glass Animals",2016-08-26,281406,63,false,,2025-09-22T17:44:20Z,"","Wolf Tone",0.699,0.67,1,-6.219,1,0.0347,0.0147,0.22,0.356,0.556,111.988,4
spotify:track:2akjLHnHjDGsgqxuf48VYs,"The Bay","The English Riviera","Metronomy",2011-04-11,290173,63,false,,2025-09-22T17:44:20Z,"new rave,alternative dance","Because Music Ltd.",0.803,0.47,6,-7.232,0,0.0387,0.587,0.091,0.0723,0.887,121.226,4
spotify:track:2Vn92UPSmDMynFENzpe2zP,"Open Your Eyes","Being No One, Going Nowhere","STRFKR",2016-11-04,232946,62,false,,2025-09-22T17:44:20Z,"","Polyvinyl Records",0.67,0.753,0,-4.3,0,0.0323,0.00554,0.613,0.152,0.4,129.987,4
spotify:track:25YlltWXRb9k7KbrEBRuhJ,"Lo/Hi","""Let's Rock""","The Black Keys",2019-06-28,177768,63,false,,2025-09-22T17:44:20Z,"bluesrock,garagerock,moderne blues,rock","Nonesuch",0.606,0.679,2,-7.445,1,0.0321,0.0151,0.000433,0.0962,0.707,122.016,4
spotify:track:3u1Er1rkjn1oSz1xdZH3ZD,"Call It What You Want","Torches","Foster The People",2011-05-23,238786,62,false,,2025-09-22T17:44:20Z,"","Columbia",0.641,0.967,5,-4.289,0,0.0601,0.0483,0.000276,0.442,0.725,113.017,4
spotify:track:6MDijuuArPJv1vbp7K1x3f,"Genghis Khan","iii","Miike Snow",2016-03-04,212146,62,false,,2025-09-22T17:44:20Z,"alternative dance","Downtown/Atlantic",0.688,0.847,10,-3.238,0,0.0508,0.04,0.00000281,0.598,0.453,93.979,4
spotify:track:3WXhshrs1fzwF3rQE399Gq,"Kill V. Maim","Art Angels","Grimes",2015-11-06,246006,62,false,,2025-09-22T17:44:20Z,"art pop","4AD",0.578,0.947,11,-2.431,0,0.0359,0.00744,0.0816,0.105,0.456,134.033,4
spotify:track:6Ca3uEAuun3HusTUiIXKs1,"If You Wanna","What Did You Expect from The Vaccines?","The Vaccines",2011-03-14,174013,61,false,,2025-09-22T17:44:20Z,"indie,indierock","Columbia",0.353,0.866,2,-3.274,1,0.0392,0.0000303,0.00003,0.295,0.544,165.215,4
spotify:track:5FR8DHv1ZXCH9cZ1jMjfgC,"Keep It Up","Blue Sky Mentality","Good Neighbours",2025-10-03,156524,60,false,,2025-09-22T17:44:20Z,"","Polydor Records",0.419,0.909,8,-4.224,1,0.2,0.0471,0.00000948,0.107,0.397,177.463,4
spotify:track:5WSdMcWTKRdN1QYVJHJWxz,"Girls","The 1975","The 1975",2013-01-01,254620,60,true,,2025-09-22T17:44:20Z,"","Polydor Records",0.657,0.913,11,-4.984,1,0.0529,0.00392,0.00153,0.467,0.905,108.036,4
spotify:track:5f5RzlEgheGXEsYAvmYil8,"We Are Your Friends - Justice Vs Simian","We Are Your Friends","Justice;Simian",2006-01-01,262773,60,false,,2025-09-22T17:44:20Z,"franse house,new rave","[PIAS] Recordings Catalogue",0.614,0.97,9,1.334,0,0.118,0.0103,0.393,0.178,0.51,123.001,4
spotify:track:49skdn8Truaufvcz8BXmtT,"Lets Go Surfing","The Drums","The Drums",2010-06-07,174306,60,false,,2025-09-22T17:44:20Z,"indie","Downtown Records",0.579,0.806,1,-5.7,1,0.0323,0.214,0.000535,0.0917,0.789,174.057,4
spotify:track:65wEZxhPlAERKLcSbTD7qc,"You Stupid Bitch","if i could make it go quiet","girl in red",2021-04-30,195951,60,true,,2025-09-22T17:44:20Z,"bedroompop","world in red",0.521,0.833,11,-5.661,0,0.053,0.00721,0.00119,0.272,0.764,149.006,4
spotify:track:1YPxUUih6iIQsCshtPkv2L,"Pogo","Idealism","Digitalism",2007-05-09,226466,59,false,,2025-09-22T17:44:20Z,"electroclash,new rave,franse house","Magnetism",0.403,0.754,0,-5.256,1,0.0442,0.0000608,0.0000771,0.466,0.398,136.027,4
spotify:track:5EV4bGHxVN0kHpcAFvgnTt,"Dance, Baby!","Roy Pablo","boy pablo",2017-05-19,198000,59,false,,2025-09-22T17:44:20Z,"bedroompop","777 Music",0.602,0.601,9,-8.521,1,0.0411,0.037,0.0046,0.312,0.856,122.017,4
