Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1AYIBIhwU2XFVBfGp0QVZl,"terrible4u","terrible4u","Luke Chiang",2025-09-19,198092,56,false,,2026-02-27T05:00:32Z,"","Luke Chiang",0.669,0.477,6,-8.669,0,0.0433,0.244,0.000946,0.0943,0.497,145.028,4
spotify:track:1jHNzk2mWZ8VnGcVewl4Nn,"be the girl!","the apple tree under the sea","hemlocke springs",2026-02-13,333956,56,false,,2026-02-27T05:00:32Z,"","Good Luck Have Fun Records, LLC",0.622,0.761,0,-6.459,1,0.0327,0.0116,0.111,0.0837,0.137,120.01,4
spotify:track:0Xfj8XkEduoN43F2UMrDGZ,"Roamer","AngieAngieAngie","spill tab",2026-02-18,139363,55,false,,2026-02-27T05:00:32Z,"bedroompop","Spill Tab Inc.",0.876,0.456,5,-6.907,1,0.0434,0.0641,0.584,0.113,0.872,124.016,4
spotify:track:6oM46RZxmCvcaaHP3n5TXX,"That's My Girl","That's My Girl","Carol Ades",2026-02-13,176546,55,false,,2026-02-27T05:00:32Z,"","broke",0.585,0.74,3,-7.663,1,0.0408,0.00166,0.0000165,0.0971,0.556,124.877,4
spotify:track:5QlTdFRhzFV72ieDj04sdD,"Flowers - Spotify Singles","Flowers - Spotify Singles","Thomas Day",2026-02-26,236167,55,false,,2026-02-27T05:00:32Z,"","Arista Records",0.613,0.489,0,-9.256,1,0.029,0.811,0.0306,0.102,0.313,111.933,4
spotify:track:5TBvQZLNHpCvYLiO98FjEg,"Messy Hair","Fauxllennium (Japanese Deluxe Edition)","TV Girl;George Clanton;Magdalena Bay",2025-04-04,116000,54,false,,2026-02-27T05:00:32Z,"vaporwave,chillwave,plunderphonics","Blissful Serenity Industries, LLC",0.679,0.515,11,-7.228,0,0.031,0.00457,0.617,0.062,0.405,140.12,4
spotify:track:5SnAkhrhPXKRSCuvGjCM1s,"Queen of Texas","Queen of Texas","Solya",2026-03-06,189933,54,false,,2026-03-06T05:00:23Z,"","VERSION III",0.387,0.486,0,-8.365,0,0.0296,0.0262,0,0.103,0.111,105.989,4
spotify:track:2MKZXMDTgvJGZyq5XJz272,"Jelly","Sports","Sports",2026-02-20,180056,54,false,,2026-02-27T05:00:32Z,"","Sports",0.725,0.654,2,-7.394,0,0.0338,0.00263,0.671,0.146,0.37,140.967,4
spotify:track:0FtczGAn1UOZsTCHJaqgYA,"Ants In My Room","Ants In My Room","Carter Vail",2026-01-30,168919,54,false,,2026-02-27T05:00:32Z,"","Biggest Boy, Inc./RCA Records",0.677,0.717,9,-5.208,1,0.0399,0.0332,0,0.0455,0.697,110.035,4
spotify:track:1dvYCfO9EXPJCXvksXV8iu,"Dandelion","Dandelion","New Constellations",2026-02-20,243000,54,false,,2026-02-27T05:00:32Z,"","Nettwerk Music Group",0.593,0.785,11,-6.401,0,0.036,0.0177,0.000232,0.196,0.539,169.91,4
spotify:track:3xffKXnwzuAsio7sJgYECf,"Small Town Joan of Arc","Chasing The Chimera","Del Water Gap",2025-11-07,231499,53,false,,2026-02-27T05:00:32Z,"","Mom+Pop Music",0.482,0.683,10,-6.662,0,0.0855,0.0432,0.00000149,0.143,0.634,186.361,4
spotify:track:5b2nQ3pCgh8hfM6DH2rt8S,"Lipdance","Paradise Now & Forever","Obongjayar",2025-11-20,215531,53,false,,2026-02-27T05:00:32Z,"alté","September Recordings",0.827,0.696,2,-6.546,1,0.0525,0.128,0.0038,0.114,0.458,124.001,4
spotify:track:2S5gnw0IFfABbzxlDyjlGG,"Lean","Lean","Charlotte Day Wilson;Saya Gray",2026-01-14,233486,53,true,,2026-02-27T05:00:32Z,"alternative r&b","XL Recordings",0.698,0.753,0,-5.265,1,0.0409,0.348,0.0241,0.145,0.531,139.993,4
spotify:track:4YOpINlEvanckbfIAwsdkx,"the punisher","the punisher","LØLØ",2026-02-27,189107,52,false,,2026-02-27T05:00:32Z,"","Fearless Records",0.598,0.828,4,-3.998,1,0.0512,0.0058,0,0.123,0.648,124.12,4
spotify:track:771ruvsgyt1P1AO4raBel0,"Being There","Being There","Bennett Coast",2025-09-19,262886,52,false,,2026-02-27T05:00:32Z,"","Pizzaslime Records",0.626,0.67,11,-9.836,1,0.0334,0.588,0.00502,0.257,0.648,152.073,4
spotify:track:2WZ2OD87MX3vVPv4OoKJ4M,"Is This Love??","Is This Love??","Solya",2026-02-11,189800,52,false,,2026-02-27T05:00:32Z,"","VERSION III",0.412,0.607,7,-6.793,0,0.0256,0.00082,0.000048,0.156,0.356,152.085,4
spotify:track:5I25i7QQ0JyUHwovMJprfS,"Do What You Gotta (feat. Sunset Rollercoaster)","Do What You Gotta (feat. Sunset Rollercoaster)","PREP;落日飛車 Sunset Rollercoaster",2026-01-28,188253,52,false,,2026-02-27T05:00:32Z,"taiwanese indie,chinese indie,bedroompop","Bright Antenna",0.817,0.422,2,-9.385,1,0.0423,0.102,0.0107,0.332,0.74,124.996,4
spotify:track:3Qrgf4pbGVzyc0UlcNA6Nh,"Silverlake Baby","Would You Go Down On A Girl? (Deluxe)","Déyyess",2026-02-06,221152,51,true,,2026-02-27T05:00:32Z,"","Polydor Records",0.264,0.796,0,-3.832,1,0.0439,0.00537,0.015,0.284,0.178,179.937,4
spotify:track:5nYlyj9C5ucDMLn8ZoytLY,"The Biggest Dick","The Biggest Dick","Amy Shark",2026-03-11,163296,51,true,,2026-03-13T04:00:45Z,"","Wonderlick",0.815,0.554,9,-7.792,1,0.0776,0.698,0.0000163,0.195,0.485,120.035,4
spotify:track:6pNWRbfpSwxnQAhTYPcajr,"Texas Baby","Texas Baby","Susannah Joffe",2026-02-27,147106,51,false,,2026-02-27T05:00:32Z,"","broke",0.45,0.639,10,-5.457,1,0.0276,0.0446,0.000556,0.327,0.448,108.006,4
spotify:track:5GVyBn2zUEweqnS6oeXlMp,"The Field (feat. The Durutti Column, Tariq Al-Sabir, Caroline Polachek & Daniel Caesar)","The Field (feat. The Durutti Column, Tariq Al-Sabir, Caroline Polachek & Daniel Caesar)","Blood Orange;Tariq Al-Sabir;Caroline Polachek;Daniel Caesar;The Durutti Column",2025-06-26,199256,51,false,,2026-02-27T05:00:32Z,"art pop,artrock,post-punk","Domino Recording Co./RCA Records",0.588,0.526,2,-8.648,1,0.0407,0.71,0.166,0.201,0.135,82.45,4
spotify:track:336Ear6GlKMVrwgshhf6CH,"Strong","Strong","Momo Boyd;Infinity Song",2026-03-13,156764,51,false,,2026-03-13T04:00:45Z,"","ROC NATION DISTRIBUTION",0.387,0.74,0,-7.21,1,0.0424,0.00594,0.00361,0.153,0.369,174.123,4
spotify:track:5ZHRKtrosRwOzUHv7WmyGK,"Hi My Love","Hi My Love","Sofia and the Antoinettes",2026-01-16,176486,50,false,,2026-02-27T05:00:32Z,"","Warner Records",0.679,0.562,8,-7.33,1,0.0328,0.000731,0.00000895,0.116,0.202,116.039,4
